Air temperature [K],Torque [Nm],Tool wear [min],Failure Type
298.5,43.6,5,0
302.8,50.0,216,0
302.3,48.1,24,0
300.2,30.7,179,0
300.7,41.9,207,0
300.7,43.4,26,0
298.0,32.7,0,0
298.2,27.9,35,0
296.3,50.5,48,0
304.2,23.5,50,0
303.9,41.1,12,0
298.8,35.2,214,0
299.5,22.6,162,0
302.5,43.1,181,0
300.4,43.5,74,0
300.0,51.7,2,0
300.9,13.7,207,0
298.9,13.9,89,0
303.0,51.0,174,3
298.1,49.8,85,0
302.3,37.3,20,0
297.5,37.6,2,0
297.8,31.3,200,0
300.3,55.3,4,0
298.4,37.9,194,0
301.6,34.4,162,0
299.9,29.1,197,0
297.9,49.6,56,0
303.5,44.0,128,0
300.2,14.7,144,0
302.1,37.5,42,0
300.9,32.7,170,0
300.8,39.4,175,0
298.4,15.1,89,0
301.9,51.9,40,0
301.3,42.5,213,0
296.9,47.1,204,0
298.8,38.3,53,0
303.7,56.8,194,2
298.0,26.6,67,0
304.2,47.2,102,0
299.6,42.7,81,0
299.0,43.0,91,0
302.1,39.3,155,0
299.7,41.1,208,0
302.9,46.0,206,0
298.1,26.8,27,0
299.3,26.4,33,0
298.9,31.3,98,0
297.7,25.6,174,0
302.4,59.4,179,0
300.3,43.8,0,0
302.0,55.3,192,0
298.3,52.7,151,0
297.6,30.9,151,0
300.6,49.7,155,0
298.0,47.7,43,0
301.4,33.3,46,0
300.3,45.2,48,0
300.0,61.9,80,0
299.8,30.3,200,0
300.7,41.9,126,0
302.1,38.0,161,0
299.8,35.2,208,0
299.4,31.7,181,0
300.5,45.2,223,0
298.2,52.9,79,0
296.9,44.8,57,0
299.0,48.9,59,0
303.9,53.5,189,0
299.4,39.1,109,0
300.9,43.1,43,0
302.5,58.5,55,3
298.2,46.5,76,0
298.3,47.6,101,0
299.6,24.8,99,0
304.0,54.6,102,0
300.0,22.0,175,0
297.5,58.2,146,0
302.0,17.3,227,0
299.7,50.1,168,0
297.4,36.2,116,0
300.3,34.1,52,0
297.0,44.1,96,0
299.2,41.2,140,0
303.9,41.0,11,0
298.8,53.2,194,0
298.6,44.0,43,0
295.6,42.5,69,0
297.7,30.2,0,0
297.7,60.4,143,0
302.3,47.6,67,0
298.6,46.5,26,0
299.5,44.3,40,0
302.3,57.6,77,0
298.7,29.5,42,0
297.5,57.4,143,0
297.6,43.3,221,0
299.3,47.7,199,0
301.1,21.7,28,0
301.4,36.1,110,0
300.5,26.3,89,0
299.7,49.2,85,0
304.0,28.2,66,0
300.8,44.5,49,0
298.2,55.7,23,0
301.8,50.7,108,0
298.6,19.6,40,0
303.4,32.2,166,0
299.8,44.4,214,0
300.6,44.2,126,0
298.9,43.1,218,0
301.3,57.4,164,0
300.7,45.3,48,0
298.1,47.7,103,0
298.1,45.3,70,0
298.3,26.0,96,0
301.5,44.1,184,0
298.0,31.0,198,0
300.7,22.2,111,0
299.7,51.9,117,0
302.4,42.3,83,0
299.1,38.0,125,0
297.4,61.8,98,0
297.2,23.0,30,0
303.6,41.4,135,0
298.9,32.7,53,0
298.0,65.9,50,0
298.2,44.5,80,0
295.8,76.2,89,1
302.3,30.3,116,0
301.7,43.0,23,0
297.6,49.1,174,0
297.5,40.8,37,0
297.4,53.2,43,0
299.4,47.3,12,0
300.4,33.6,126,0
302.1,46.3,210,3
296.9,29.7,137,0
301.8,50.5,64,3
299.3,29.7,141,0
300.8,27.8,0,0
300.2,28.8,162,0
302.7,41.9,15,0
299.7,44.8,127,0
298.2,23.6,69,0
299.9,40.4,59,0
297.3,24.5,137,0
300.4,23.9,155,0
300.7,48.5,7,0
300.1,47.7,73,0
297.1,37.1,59,0
300.7,52.2,85,0
303.9,45.0,78,0
300.6,38.5,0,0
303.0,40.7,179,0
299.0,41.5,96,0
301.4,43.5,98,0
297.3,45.0,77,0
298.1,32.9,10,0
302.5,37.6,209,0
300.4,47.3,5,0
302.8,39.9,48,0
301.9,47.7,92,0
297.8,27.3,35,0
301.2,45.5,44,0
303.7,51.0,105,0
303.3,63.8,100,0
297.3,38.4,27,0
301.1,35.3,65,0
296.1,53.3,22,0
300.1,39.8,221,0
304.2,28.1,80,0
303.4,50.9,200,3
299.6,30.0,70,0
299.2,46.5,11,0
299.2,48.5,5,0
297.6,31.4,205,0
298.9,52.6,190,0
297.4,53.5,169,0
301.5,34.3,100,0
296.4,38.0,62,0
299.4,40.5,215,0
297.0,52.5,213,2
301.5,44.1,157,0
295.8,37.7,60,0
296.8,43.7,222,0
300.0,51.2,173,0
298.7,27.3,79,0
298.7,47.5,32,0
298.1,45.6,105,0
298.5,32.3,46,0
301.0,31.3,150,0
301.4,29.8,44,0
298.2,28.1,81,0
301.6,46.8,95,0
300.4,46.9,19,0
300.6,44.2,84,0
299.0,32.2,106,0
302.5,41.8,160,0
303.2,31.9,33,0
301.4,33.6,49,0
298.0,38.5,34,0
298.6,26.3,177,0
297.3,36.7,114,0
300.1,36.0,109,0
299.3,37.2,118,0
297.4,46.3,138,0
302.5,43.2,189,0
302.8,37.9,207,0
298.6,50.4,82,0
297.4,31.4,76,0
298.2,51.0,141,0
296.8,40.4,227,0
297.5,39.4,22,0
301.5,15.8,191,0
300.0,43.5,102,0
299.0,36.1,97,0
297.8,61.0,186,2
304.1,32.5,134,0
297.5,30.4,178,0
300.0,40.3,7,0
302.0,45.3,193,0
297.1,35.6,46,0
300.2,49.2,61,0
301.8,39.3,197,0
302.7,42.7,33,0
299.6,62.1,83,0
299.8,35.4,205,0
298.9,40.4,131,0
298.8,40.0,90,0
301.7,47.8,27,0
295.8,40.5,90,0
300.1,38.0,26,0
297.4,48.7,220,0
299.2,47.0,21,0
298.3,37.6,137,0
301.3,51.4,199,0
300.5,34.2,62,0
302.8,36.1,89,0
295.6,28.1,110,0
301.0,17.9,178,0
296.7,69.0,105,1
299.4,31.2,199,0
298.9,34.1,99,0
298.7,45.7,195,0
298.9,36.6,117,0
299.3,48.1,67,0
297.9,21.6,37,0
304.1,34.6,33,0
301.8,46.6,35,0
299.3,50.4,140,5
298.9,49.9,21,0
299.2,28.9,197,0
301.1,60.0,53,0
300.1,23.6,26,0
301.4,45.1,7,0
300.3,22.3,121,0
302.9,51.4,160,0
298.2,49.4,141,0
300.0,39.0,125,0
301.8,37.6,204,0
299.7,30.0,168,0
300.2,42.2,40,0
301.5,39.0,204,0
301.0,32.6,0,0
298.9,48.0,181,0
303.7,51.1,161,0
297.5,32.2,17,0
302.3,35.6,41,0
297.9,43.9,116,0
299.8,29.8,202,0
301.5,41.9,204,0
298.9,49.2,11,0
299.8,34.2,196,0
301.3,53.4,57,0
298.8,52.6,167,0
298.9,8.8,142,1
298.0,29.1,71,0
301.3,30.7,34,0
300.7,43.5,222,0
303.6,35.8,133,0
295.8,37.9,88,0
302.2,47.6,11,0
300.3,46.6,95,0
302.5,36.9,158,0
302.7,52.1,213,2
301.4,43.3,212,0
300.7,32.6,43,0
302.3,35.2,152,0
300.4,30.8,203,0
303.7,45.5,192,0
304.2,31.1,20,0
297.5,24.3,110,0
300.0,53.5,199,0
298.2,33.0,181,0
298.6,27.2,5,0
302.2,30.6,39,0
302.6,17.2,94,0
298.8,46.7,59,0
303.4,31.6,202,0
297.5,38.2,15,0
297.8,27.8,199,0
300.9,23.2,72,0
302.1,38.4,28,0
297.9,45.2,91,0
300.0,32.6,152,0
302.3,34.1,185,0
297.4,34.6,65,0
297.2,49.6,167,0
302.7,47.5,166,0
296.8,48.7,142,0
297.1,37.9,183,0
299.0,44.9,221,0
297.6,42.0,90,0
298.8,35.2,60,0
299.3,45.8,170,0
297.8,51.4,105,0
298.8,19.6,148,0
303.0,43.0,210,0
300.3,39.6,107,0
298.0,36.8,186,0
300.7,34.6,178,0
299.7,36.2,172,0
299.2,45.2,222,0
296.8,53.8,193,0
300.5,43.4,41,0
302.1,35.9,104,0
300.2,21.4,44,0
302.8,57.1,8,0
299.6,29.6,73,0
297.1,37.0,167,0
300.6,31.1,187,0
301.9,49.0,223,0
297.3,39.5,168,0
302.6,37.0,135,0
300.8,39.1,82,0
297.5,37.5,20,0
298.4,27.3,163,0
301.6,41.1,167,0
303.2,43.9,30,0
302.7,42.5,164,0
301.3,36.3,184,0
300.2,44.0,198,0
300.6,53.6,66,0
298.2,40.5,192,0
298.5,66.7,12,1
299.0,38.1,182,0
298.8,61.6,46,0
299.2,46.8,39,0
300.4,38.9,185,0
299.8,48.6,159,0
301.7,46.4,207,4
298.8,46.4,207,0
300.0,24.6,132,0
300.1,39.3,47,0
302.4,46.6,102,0
299.1,46.4,12,0
297.7,27.3,99,0
302.1,30.9,106,0
297.6,41.3,17,0
297.4,27.4,100,0
296.9,57.1,202,2
301.5,28.7,135,0
301.4,48.6,96,0
300.7,32.4,5,0
302.7,41.5,65,0
299.0,57.2,10,0
299.5,56.5,7,0
301.5,49.7,5,0
299.0,19.3,15,0
297.6,34.9,68,0
303.7,40.1,135,0
297.4,42.1,190,0
301.4,49.7,108,0
299.1,33.4,20,0
297.4,38.7,136,0
303.8,34.3,180,0
299.1,61.4,17,0
297.5,49.4,2,0
300.8,42.3,186,0
298.5,48.7,56,0
299.3,39.2,144,0
302.8,52.2,40,3
300.6,45.9,17,0
300.4,35.0,33,0
301.9,39.0,214,4
298.9,36.1,126,0
302.4,34.2,184,0
297.9,52.7,132,0
299.8,47.3,188,0
295.7,34.3,97,0
297.3,17.0,32,0
298.0,37.7,119,0
301.9,36.7,101,0
298.2,35.9,151,0
302.3,33.1,156,0
300.6,40.1,5,0
297.4,39.2,54,0
298.9,50.9,183,0
303.3,43.4,65,0
300.3,51.6,50,0
302.8,57.5,187,0
297.4,24.6,79,0
297.2,30.3,124,0
296.9,44.4,16,0
298.8,40.5,63,0
301.8,41.2,33,0
298.2,53.8,137,0
300.0,36.9,35,0
303.6,47.7,198,0
301.1,55.5,210,0
298.8,35.0,55,0
298.9,45.9,109,0
297.5,35.1,213,0
302.6,41.6,40,0
300.8,37.5,155,0
296.7,51.4,108,0
298.7,37.4,0,0
303.0,37.0,152,0
297.5,44.3,201,0
302.5,40.9,170,0
304.1,24.5,190,0
300.5,51.4,60,0
302.9,53.7,200,3
297.5,58.2,34,0
297.6,55.2,86,0
300.2,56.9,155,0
300.8,35.8,14,0
302.2,30.6,105,0
299.4,39.0,90,0
300.7,38.3,99,0
299.7,37.2,4,0
298.9,43.5,46,0
302.6,51.0,206,0
301.2,45.6,18,0
298.5,48.2,107,0
303.1,44.5,27,0
296.9,52.1,100,0
297.2,29.0,188,0
302.0,51.4,183,0
296.5,55.6,69,0
300.1,31.4,38,0
302.2,47.0,3,0
300.9,28.5,18,0
302.0,45.9,144,0
297.5,52.6,12,0
298.8,49.6,27,0
303.6,50.1,84,0
300.7,53.1,183,0
298.6,43.2,206,0
297.4,33.8,132,0
297.3,29.4,166,0
298.9,45.5,196,0
302.3,24.5,73,0
301.1,32.9,119,0
300.1,39.1,188,0
303.6,34.7,94,0
302.5,25.3,203,0
297.3,53.8,91,0
300.6,57.4,119,0
299.3,30.6,154,0
302.2,43.6,38,0
302.6,38.8,34,0
303.1,41.2,107,0
300.9,40.2,63,0
303.9,48.3,10,0
301.9,35.6,63,0
298.4,34.9,93,0
297.4,41.1,152,0
303.9,42.5,194,0
300.5,28.3,13,0
295.6,32.7,56,0
298.4,32.4,194,0
298.2,33.2,94,0
299.0,47.2,35,0
300.6,45.5,196,0
302.3,46.8,166,3
303.2,54.6,226,3
298.0,36.1,73,0
301.8,27.2,162,0
300.5,48.6,141,0
298.3,42.5,190,0
297.0,60.1,128,0
297.5,30.9,186,0
298.4,31.6,173,0
298.0,22.7,79,0
297.2,42.1,41,0
298.7,54.7,44,0
303.0,40.2,127,0
300.6,31.0,107,0
300.2,39.0,174,0
298.0,45.0,158,0
303.2,39.9,146,0
301.3,59.3,134,0
300.6,42.4,169,0
302.3,41.4,102,0
303.6,50.7,2,0
301.6,23.6,181,0
297.6,30.1,81,0
299.7,42.7,163,0
297.0,48.1,137,0
297.4,52.2,49,0
296.7,36.8,210,0
297.4,36.4,71,0
302.6,46.9,82,0
298.0,30.8,17,0
299.9,22.5,22,0
302.1,53.6,5,0
297.3,31.4,9,0
301.4,36.9,133,0
297.4,41.2,43,0
299.2,51.4,183,0
296.9,51.1,121,0
303.8,35.7,182,0
301.2,42.3,42,0
297.3,41.9,95,0
303.3,25.6,232,0
300.2,42.9,191,0
300.3,38.1,140,0
302.2,50.6,101,0
303.8,40.0,154,0
299.3,47.5,12,0
302.0,36.3,209,0
303.2,50.9,31,0
299.7,26.1,144,0
297.4,41.9,47,0
300.5,49.6,211,0
298.2,36.0,39,0
302.7,46.8,179,0
300.1,40.0,201,0
297.3,35.7,156,0
303.8,23.9,149,0
297.8,32.1,18,0
299.7,33.5,141,0
301.4,29.6,99,0
302.6,45.8,38,0
299.0,28.6,206,0
298.6,43.2,92,0
302.7,48.3,80,0
302.3,46.0,86,0
301.8,50.5,131,0
303.5,29.7,28,0
302.4,45.2,46,0
297.5,26.8,136,0
300.6,36.5,79,0
298.8,48.5,138,0
297.4,39.9,2,0
296.5,41.8,87,0
299.1,43.0,53,0
302.8,49.0,218,0
299.2,43.0,26,0
302.3,44.8,98,0
298.7,40.2,69,0
297.3,34.3,74,0
297.9,50.3,193,0
301.7,48.0,66,0
297.4,52.6,15,0
300.7,47.9,80,0
299.2,48.7,13,0
301.7,27.7,105,0
298.9,30.7,65,0
298.9,36.3,161,0
302.4,26.9,112,0
297.5,36.7,233,0
300.8,37.7,193,0
298.6,40.4,179,0
302.3,41.7,127,0
299.2,21.4,102,0
299.1,23.9,158,0
297.5,52.2,157,0
299.6,33.4,20,0
303.4,25.8,161,0
302.0,42.7,92,0
300.4,51.6,153,0
303.5,44.8,111,0
300.0,46.0,51,0
300.2,40.1,182,0
302.5,59.4,60,0
300.8,40.1,220,0
299.9,44.7,204,0
298.3,39.2,176,0
296.3,57.7,33,0
298.9,37.2,177,0
301.9,38.9,209,0
300.4,52.5,68,0
298.8,45.4,192,0
297.4,41.2,126,0
303.7,35.5,138,0
303.1,51.8,97,0
301.5,21.3,152,0
297.9,37.5,54,0
301.8,28.0,58,0
301.4,54.1,90,0
301.8,60.4,48,0
300.9,38.1,137,0
302.5,37.6,45,0
299.2,34.1,89,0
302.4,56.4,100,0
301.7,33.3,220,0
302.8,49.1,221,0
300.6,52.6,21,0
301.5,34.0,55,0
302.6,33.7,204,0
297.1,31.3,61,0
302.4,26.5,213,0
300.3,47.6,45,0
297.1,50.8,49,0
296.9,39.2,133,0
296.8,30.0,33,0
297.3,39.6,144,0
302.6,36.1,77,0
300.5,30.0,158,0
297.5,37.1,30,0
302.0,46.3,17,0
296.8,41.7,231,0
300.3,47.7,61,0
301.8,38.8,96,0
297.5,40.7,141,0
302.7,60.7,125,3
302.9,58.3,123,0
297.8,40.0,192,0
300.9,32.0,183,0
302.3,40.3,145,0
301.0,36.7,199,0
297.9,50.2,130,0
298.2,31.4,192,0
297.5,41.6,118,0
300.5,36.2,103,0
299.8,28.5,103,0
302.4,59.0,138,0
297.2,34.4,76,0
302.2,46.8,49,0
304.0,53.9,202,0
304.1,56.6,115,0
300.0,28.3,110,0
300.3,47.9,163,0
300.3,44.6,87,0
303.4,27.9,40,0
297.9,13.9,82,0
301.3,53.6,193,0
301.7,34.6,5,0
297.2,61.3,207,2
303.3,33.7,14,0
300.3,28.6,158,0
297.9,38.8,124,0
301.6,35.4,148,0
301.2,38.1,61,0
297.2,42.9,212,0
301.3,29.5,62,0
300.5,52.9,165,0
297.4,41.0,18,0
300.4,47.4,170,0
304.1,45.3,28,0
298.5,21.0,59,0
297.3,42.8,153,0
297.8,25.8,43,0
297.4,51.1,130,0
302.5,42.0,188,0
301.6,55.8,70,3
302.3,31.6,135,0
301.7,29.3,72,0
301.1,48.8,103,0
300.2,41.4,78,0
299.2,38.4,172,0
303.3,46.1,41,0
300.5,46.0,89,0
299.5,44.6,101,0
300.7,56.6,98,0
300.0,39.6,105,0
302.0,37.8,218,0
299.0,31.9,51,0
299.4,41.5,201,0
302.2,20.4,202,0
302.6,42.0,181,0
300.0,32.0,128,0
303.0,38.8,114,0
301.1,27.2,40,0
300.9,37.7,133,0
298.4,36.7,122,0
298.1,52.4,102,0
298.8,39.5,105,0
297.6,30.9,79,0
302.0,29.8,105,0
300.5,34.6,228,0
302.3,38.2,47,0
298.0,27.8,163,0
299.3,47.6,156,0
301.0,47.0,71,0
299.9,50.0,148,0
301.7,37.9,75,0
301.8,41.4,63,0
299.6,36.6,17,0
301.9,47.7,20,0
297.4,52.0,131,0
298.2,37.7,36,0
302.5,18.8,190,0
298.2,39.5,7,0
302.2,32.8,77,0
298.0,50.7,70,0
300.4,44.9,21,0
298.1,30.7,145,0
297.2,47.9,143,0
300.3,50.2,109,0
298.2,33.7,16,0
299.4,41.2,3,0
302.6,26.3,191,0
298.0,36.6,190,0
297.6,37.0,106,0
300.3,31.2,123,0
298.2,31.5,64,0
300.6,36.4,113,0
298.2,10.7,86,1
300.6,38.6,31,0
299.4,36.0,197,0
298.3,28.6,89,0
300.6,30.7,78,0
300.7,30.3,129,0
296.3,35.8,175,0
297.6,48.2,46,0
297.5,47.4,187,0
303.6,37.9,98,0
302.4,29.9,204,0
298.7,46.9,60,0
300.5,18.9,9,0
300.8,35.2,23,0
298.5,31.1,34,0
301.7,55.8,39,0
301.6,24.6,210,0
302.4,40.4,28,0
301.0,33.4,12,0
297.4,32.2,84,0
300.0,24.1,213,0
297.2,46.5,185,0
298.0,42.6,107,0
300.1,56.2,127,0
301.8,43.8,70,0
302.5,51.3,190,0
303.9,40.6,79,0
301.4,40.6,86,0
302.8,36.9,143,0
298.2,47.9,97,0
301.2,43.2,56,0
298.1,41.5,204,0
300.4,43.6,22,0
302.3,31.1,3,0
299.9,61.3,124,0
300.7,27.7,84,0
298.5,43.9,28,0
301.9,36.6,15,0
297.9,31.7,94,0
300.7,26.6,149,0
297.3,23.1,90,0
298.4,45.2,125,0
300.2,36.8,14,0
297.7,27.2,125,0
301.7,46.0,112,0
298.2,28.8,186,0
297.5,30.4,155,0
298.3,31.6,144,0
298.3,37.8,101,0
303.2,33.7,71,0
302.2,38.3,35,0
297.2,30.7,72,0
298.9,40.7,124,0
298.9,31.5,172,0
298.3,54.8,191,0
299.2,53.2,59,0
296.3,31.6,27,0
299.9,51.3,176,0
298.8,49.6,129,0
299.4,40.5,168,0
298.7,33.0,203,0
300.5,47.4,56,0
300.7,30.5,38,0
298.1,39.4,157,0
301.6,25.5,40,0
302.6,34.7,182,0
301.4,55.8,152,0
298.7,25.8,130,0
300.2,42.5,0,0
299.8,32.5,27,0
299.2,38.7,22,0
298.3,30.2,125,0
298.0,36.7,104,0
297.6,50.0,62,0
301.9,54.8,99,0
297.4,16.9,176,0
300.6,40.6,82,0
299.6,32.3,194,0
298.0,36.7,210,0
301.4,28.7,108,0
297.9,37.3,30,0
302.4,36.9,5,0
303.6,54.6,112,3
299.3,33.9,203,0
303.0,36.7,191,0
300.3,39.6,85,0
298.9,49.6,35,0
302.7,36.1,35,0
299.9,41.2,109,0
302.1,43.6,196,0
300.5,36.6,205,0
296.2,63.4,172,0
300.6,38.7,16,0
299.3,42.4,0,0
297.8,30.7,48,0
300.3,35.2,196,0
300.6,37.0,50,0
300.5,49.7,55,0
301.2,50.7,25,0
299.4,43.2,47,0
298.2,43.1,65,0
301.0,45.8,184,0
302.3,40.0,71,0
301.6,42.3,129,0
299.5,49.2,8,0
304.1,29.6,65,0
300.4,27.3,116,0
300.5,54.8,173,0
295.6,51.6,126,0
298.4,47.1,122,0
298.3,52.1,104,0
300.4,42.2,196,0
297.9,44.0,37,0
297.3,46.5,73,0
303.2,39.2,225,0
300.5,46.5,134,0
297.1,30.3,90,0
297.2,31.6,197,0
302.4,55.8,143,0
298.9,46.5,122,0
297.5,39.0,141,0
298.2,46.9,117,0
297.4,57.4,96,0
301.2,31.6,166,0
297.7,40.9,87,0
303.8,42.3,38,0
301.7,50.5,176,0
297.9,39.2,59,0
302.3,45.7,175,0
298.9,30.4,53,0
300.5,48.8,211,0
300.5,43.1,16,0
302.3,27.5,145,0
301.1,48.1,14,0
303.8,34.6,14,0
297.5,44.7,40,0
298.5,31.8,108,0
301.5,38.6,14,0
298.0,44.8,148,0
302.2,54.1,48,0
303.1,24.5,159,0
296.8,47.9,127,0
302.6,35.1,17,0
298.8,39.2,8,0
297.5,50.7,0,0
300.7,43.9,81,0
297.5,24.0,179,0
299.1,46.8,190,0
301.3,54.8,186,0
301.3,47.2,193,0
302.6,51.6,182,0
302.2,25.7,85,0
300.7,45.2,92,0
303.3,29.4,49,0
302.3,53.5,59,0
298.3,54.7,91,0
298.9,33.6,218,0
297.4,47.7,156,0
298.2,27.2,188,0
300.7,41.3,69,0
301.9,44.2,16,0
300.3,52.3,2,0
296.2,24.3,40,0
303.8,27.8,66,0
299.7,41.2,152,0
297.3,38.2,44,0
298.1,43.0,56,0
298.6,28.7,29,0
298.8,29.0,31,0
299.0,30.1,84,0
302.3,47.3,2,0
297.8,32.5,190,0
298.2,43.3,61,0
303.4,42.8,58,0
300.7,13.8,163,0
298.9,54.5,51,0
299.3,45.4,72,0
297.3,50.1,144,0
303.9,46.5,9,0
302.0,27.7,23,0
297.9,34.6,57,0
302.5,49.4,117,0
303.4,50.9,39,0
299.6,38.8,198,0
297.4,46.2,150,0
298.2,47.2,168,0
298.5,36.1,174,0
299.8,17.7,190,0
297.7,43.9,172,0
297.4,51.9,117,0
301.8,34.9,139,0
299.7,51.3,144,0
299.7,42.9,55,0
303.4,49.9,28,0
301.8,40.3,185,0
299.6,48.4,143,0
302.7,48.5,0,0
302.6,50.3,33,0
303.8,45.6,184,0
300.7,44.3,72,0
297.6,34.6,71,0
302.2,31.2,172,0
302.4,43.9,152,0
301.9,46.5,89,0
298.8,44.0,56,0
302.9,19.1,192,0
298.0,58.5,176,1
300.7,47.9,77,0
303.5,37.1,27,0
297.3,27.4,121,0
302.4,40.2,143,0
300.6,38.4,68,0
301.7,36.7,115,0
301.3,48.6,72,0
300.4,29.7,103,0
299.9,52.9,180,0
300.2,55.0,102,0
301.6,43.7,91,0
300.6,38.3,14,0
302.5,36.0,72,0
297.3,44.4,34,0
298.7,40.2,137,0
303.8,41.9,145,0
297.9,50.3,24,0
298.8,46.8,72,0
298.7,33.4,2,0
303.7,41.0,33,0
302.2,52.1,174,0
298.4,35.9,132,0
297.3,32.2,29,0
296.7,34.6,238,0
300.1,25.4,55,0
302.5,48.4,134,0
302.6,48.3,25,0
297.5,39.9,110,0
296.1,22.7,20,0
298.5,20.2,50,0
300.3,39.5,4,0
302.5,48.2,117,0
301.2,32.4,98,0
297.4,62.4,204,4
301.3,41.9,208,0
303.4,42.1,62,0
299.1,52.4,112,0
297.3,53.5,112,0
300.5,39.1,216,0
299.2,39.8,141,0
297.0,35.6,193,0
297.9,58.5,93,0
296.4,25.3,144,0
299.6,36.3,35,0
299.8,64.2,165,0
299.5,38.5,162,0
302.3,37.6,75,0
304.0,62.5,200,2
300.2,61.4,170,0
302.5,54.3,125,0
304.2,41.4,32,0
300.0,47.3,60,0
297.9,44.5,85,0
298.2,49.9,72,0
299.6,42.5,164,0
300.6,30.1,128,0
302.2,44.9,33,0
302.0,55.5,59,0
299.0,47.5,163,0
300.5,33.1,71,0
296.9,53.9,7,0
301.9,42.8,140,0
303.3,45.1,219,3
302.8,40.3,204,0
301.6,36.6,218,0
298.2,35.7,40,0
299.8,36.1,203,0
298.8,31.1,68,0
300.7,34.9,57,0
297.9,35.5,14,0
303.7,53.9,123,0
300.9,41.5,100,0
300.7,25.0,153,0
296.7,34.2,109,0
298.9,36.5,110,0
298.8,36.3,69,0
298.5,21.5,164,0
301.7,41.4,108,0
298.8,29.6,160,0
298.7,40.5,59,0
300.5,63.7,124,0
302.1,23.1,159,0
302.6,39.2,152,0
300.3,62.8,118,0
298.2,42.5,154,0
298.0,35.8,5,0
300.7,30.8,44,0
298.8,53.4,21,0
298.4,42.5,139,0
298.4,42.2,94,0
301.8,30.1,220,0
303.0,29.5,109,0
298.8,44.0,25,0
300.6,36.0,98,0
301.7,49.0,187,3
303.4,38.2,45,0
301.6,47.8,7,0
298.8,32.4,183,0
297.9,44.0,72,0
299.8,35.7,170,0
298.1,43.8,6,0
303.7,31.7,120,0
303.4,36.2,69,0
300.9,48.8,150,0
302.4,46.1,148,3
301.7,30.0,161,0
301.4,41.4,144,0
304.1,34.6,139,0
298.9,42.9,121,0
298.8,33.0,101,0
297.3,45.7,202,0
298.4,45.0,158,0
298.5,43.5,87,0
300.0,41.8,69,0
300.6,41.6,140,0
298.9,36.8,78,0
300.2,35.5,21,0
297.5,48.0,131,0
302.6,45.0,79,0
298.2,39.9,134,0
300.9,37.0,5,0
299.1,57.8,152,0
302.0,47.2,159,0
301.4,18.0,99,0
300.5,39.4,203,0
298.6,62.5,9,0
299.7,40.6,182,0
300.5,55.9,143,0
296.5,52.5,62,0
298.9,42.5,179,0
300.7,29.8,6,0
303.7,43.3,189,0
303.4,53.4,98,0
303.3,27.9,55,0
298.3,27.1,194,0
301.2,26.2,64,0
297.2,51.2,102,0
297.6,27.7,13,0
299.1,24.2,22,0
303.5,38.1,112,0
297.0,43.1,51,0
297.8,28.4,179,0
302.4,55.7,102,0
300.6,36.9,105,0
299.1,26.0,90,0
301.3,30.9,31,0
296.7,46.0,33,0
303.1,55.6,150,0
296.9,31.2,116,0
302.3,31.8,169,0
300.3,54.4,52,0
302.3,25.3,200,0
301.7,49.2,25,0
303.7,51.8,90,3
300.7,43.0,61,0
302.0,41.0,184,0
302.7,47.3,62,0
300.4,42.3,186,0
300.4,43.6,203,0
298.2,50.8,27,0
301.1,36.8,7,0
300.8,49.3,177,0
301.6,44.7,46,0
298.4,35.4,133,0
298.8,41.2,40,0
300.1,29.8,210,0
300.9,42.7,121,0
295.6,20.9,74,0
299.5,44.7,46,0
301.9,35.4,116,0
297.2,16.5,127,0
299.0,55.7,201,2
299.2,47.0,198,0
297.5,44.7,29,0
301.4,24.1,112,0
300.7,40.2,81,0
298.2,38.3,121,0
300.6,41.3,68,0
298.8,33.2,0,0
302.4,54.4,0,0
297.7,58.6,170,0
297.9,15.7,125,0
298.3,27.0,172,0
302.4,37.2,195,0
298.2,28.4,34,0
300.3,26.3,202,0
300.3,49.0,194,0
303.2,41.2,230,0
300.0,32.1,55,0
297.6,46.4,13,0
299.1,35.6,2,0
299.0,56.4,29,0
302.4,35.0,68,0
296.9,41.0,74,0
301.0,32.3,50,0
299.3,41.3,17,0
296.3,68.3,24,1
297.1,25.7,139,0
303.8,45.1,143,0
297.4,38.7,62,0
301.8,52.5,26,0
300.3,48.8,36,0
299.6,44.3,67,0
303.5,35.2,74,0
301.5,42.2,52,0
298.0,32.4,99,0
299.1,47.2,218,0
303.4,50.8,94,0
300.9,52.5,125,0
299.4,26.8,107,0
299.7,31.9,155,0
298.2,49.1,22,0
300.7,35.4,34,0
298.6,50.3,196,0
300.4,14.5,12,0
300.9,44.2,97,0
300.3,44.0,59,0
298.3,60.5,143,0
298.3,28.4,67,0
299.7,46.1,102,0
297.4,34.2,142,0
298.8,38.8,53,0
299.3,53.6,218,2
299.9,49.8,182,0
299.6,41.4,168,0
301.3,35.6,202,0
298.4,44.0,92,0
299.2,47.2,0,0
296.5,37.2,164,0
300.4,36.5,72,0
297.5,26.6,105,0
300.3,44.8,200,0
298.1,40.7,57,0
300.6,63.2,45,1
298.6,28.4,90,0
299.7,38.8,199,0
301.1,46.9,35,0
299.7,34.4,91,0
301.1,29.7,83,0
298.2,38.8,20,0
301.8,41.8,125,0
297.0,28.5,186,0
300.3,32.2,25,0
300.6,32.0,180,0
300.4,36.9,231,0
